uid,iid
12210,7194
6619,7194
19100,7194
16395,7194
325,7194
11087,7194
11573,7194
11275,7194
12696,7194
21915,7194
9330,7194
4991,7194
2239,7194
19598,7194
16568,7194
11745,7194
20874,2284
262,2284
5608,2284
9254,2284
14469,2284
7510,2284
18849,2284
16728,2284
13061,2284
15746,2284
7642,2284
13382,2284
13378,2284
22244,2284
11072,11309
3599,3911
470,3911
9926,3911
11878,3911
19461,3911
7151,3911
17901,3911
16292,6333
14842,6333
12342,6333
16875,6333
18494,6333
13052,10705
2716,10705
20479,7678
15729,7678
142,7678
6015,8599
3014,8599
20352,8599
5310,8599
1977,11121
4653,11121
22421,2240
20860,2240
20501,2240
3896,2240
518,2240
146,2240
7258,2240
21971,2240
14319,2240
13052,9474
7153,9474
11600,9474
22123,9474
14975,3503
1137,8482
14015,8482
16462,8482
19376,8482
5161,1921
9771,5837
8257,5837
16506,5837
18440,5837
12318,5837
10442,5837
5233,5837
20479,3062
1296,742
8512,742
7696,742
15472,742
21077,742
17218,742
10004,742
13553,742
18006,742
20661,742
13825,742
21559,8527
5535,8527
15472,8527
5490,8527
6307,8527
19478,8527
14314,8527
16578,5517
19429,5517
760,5517
13102,5517
8878,5517
18968,5517
3615,5517
5198,5517
19115,5517
11301,5517
7757,5517
20053,5517
21932,5517
9667,5517
13989,5517
8303,5517
17382,5517
8082,5517
17218,5517
4532,5517
5065,5517
11091,5517
10004,5517
18664,5517
20419,5517
4473,5517
4125,5517
17442,5517
20048,5517
14180,5517
5674,5517
2418,5517
13648,5517
2072,5517
12458,5517
21427,5517
19551,5517
14714,5517
16942,5517
9500,5517
2467,2866
16380,2866
10647,2866
19687,2866
11078,2866
5834,2866
14461,2866
6531,2866
7426,2866
4073,2866
20163,266
15733,266
3003,266
7510,266
6992,266
15064,10822
22102,10822
15039,10822
1554,10822
21480,10822
16416,10822
18479,10822
3979,10822
18006,10822
2341,10822
11939,11233
5314,11233
5128,11233
10004,11233
14560,11233
11045,11233
5598,11233
5699,3845
20453,3845
21480,3845
5623,3845
15330,3845
14560,3845
12830,3845
20317,2840
4063,2840
5198,2840
9538,2840
9956,2840
4666,2840
325,2840
20768,2840
4519,2840
4978,2840
19133,2840
6121,2840
5065,2840
13841,2840
10004,2840
14622,2840
21612,2840
12440,2840
7373,2840
12746,2840
5674,2840
665,2840
13648,2840
6031,2840
11511,2840
10175,2840
15768,2840
1020,3087
1804,3087
14748,3087
15861,3087
15920,3087
1203,3087
21065,3087
22069,3087
3421,3087
1194,3087
13583,3087
7220,3087
19964,3087
9535,3087
19944,3087
3497,3087
20208,3087
14483,3087
9289,3087
21177,3087
16305,11046
2545,11046
16089,11046
12496,11046
21027,11046
3630,11046
5910,11046
17738,11046
145,11046
12739,11046
10959,11046
5121,11046
13020,11046
11683,11046
10149,11046
10088,11046
18690,11046
463,11046
20785,11046
12544,11046
15093,11046
2744,11046
14073,11046
4306,11046
1119,11046
3091,11046
5128,11046
9148,11046
